beta_0,gamma_0,energy
0.0,0.0,-16.0
0.0,0.03149466319388264,-16.0
0.0,0.06298932638776528,-16.000000000000004
0.0,0.09448398958164791,-16.000000000000004
0.0,0.12597865277553055,-16.0
0.0,0.1574733159694132,-16.0
0.0,0.18896797916329583,-16.000000000000004
0.0,0.22046264235717847,-16.0
0.0,0.2519573055510611,-16.0
0.0,0.2834519687449437,-16.0
0.0,0.3149466319388264,-16.0
0.0,0.34644129513270905,-16.000000000000007
0.0,0.37793595832659166,-16.0
0.0,0.40943062152047427,-15.999999999999998
0.0,0.44092528471435694,-16.000000000000004
0.0,0.4724199479082396,-16.0
0.0,0.5039146111021222,-16.0
0.0,0.5354092742960048,-16.0
0.0,0.5669039374898874,-16.0
0.0,0.5983986006837702,-16.0
0.0,0.6298932638776528,-16.0
0.0,0.6613879270715354,-16.0
0.0,0.6928825902654181,-16.000000000000007
0.0,0.7243772534593007,-16.000000000000007
0.0,0.7558719166531833,-16.000000000000004
0.0,0.7873665798470659,-16.0
0.0,0.8188612430409485,-15.999999999999998
0.0,0.8503559062348313,-16.0
0.0,0.8818505694287139,-16.0
0.0,0.9133452326225965,-16.0
0.0,0.9448398958164792,-16.0
0.0,0.9763345590103618,-16.0
0.0,1.0078292222042444,-16.0
0.0,1.039323885398127,-16.0
0.0,1.0708185485920096,-15.999999999999996
0.0,1.1023132117858923,-15.999999999999996
0.0,1.1338078749797749,-16.0
0.0,1.1653025381736577,-16.0
0.0,1.1967972013675403,-16.0
0.0,1.228291864561423,-16.0
0.0,1.2597865277553055,-16.0
0.0,1.2912811909491881,-16.000000000000004
0.0,1.3227758541430708,-16.0
0.0,1.3542705173369534,-15.999999999999998
0.0,1.3857651805308362,-16.000000000000004
0.0,1.4172598437247188,-16.000000000000004
0.0,1.4487545069186014,-16.0
0.0,1.480249170112484,-16.0
0.0,1.5117438333063666,-16.000000000000007
0.0,1.5432384965002492,-16.0
0.0,1.5747331596941319,-16.000000000000004
0.0,1.6062278228880145,-16.0
0.0,1.637722486081897,-16.0
0.0,1.66921714927578,-16.0
0.0,1.7007118124696625,-16.0
0.0,1.7322064756635451,-16.000000000000004
0.0,1.7637011388574277,-16.0
0.0,1.7951958020513104,-15.999999999999996
0.0,1.826690465245193,-16.0
0.0,1.8581851284390756,-16.0
0.0,1.8896797916329584,-16.0
0.0,1.921174454826841,-16.0
0.0,1.9526691180207236,-15.999999999999996
0.0,1.9841637812146062,-15.999999999999996
0.0,2.015658444408489,-16.0
0.0,2.0471531076023717,-16.0
0.0,2.078647770796254,-16.0
0.0,2.110142433990137,-16.0
0.0,2.1416370971840193,-16.0
0.0,2.173131760377902,-16.0
0.0,2.2046264235717845,-15.999999999999996
0.0,2.2361210867656673,-16.0
0.0,2.2676157499595497,-16.0
0.0,2.2991104131534326,-15.999999999999996
0.0,2.3306050763473154,-16.0
0.0,2.362099739541198,-16.000000000000004
