beta_0,gamma_0,energy
0.0,0.0,-2.0
0.0,0.03149466319388264,-2.000000000000001
0.0,0.06298932638776528,-2.000000000000001
0.0,0.09448398958164791,-2.0
0.0,0.12597865277553055,-1.9999999999999996
0.0,0.1574733159694132,-2.000000000000001
0.0,0.18896797916329583,-2.000000000000001
0.0,0.22046264235717847,-2.0000000000000004
0.0,0.2519573055510611,-1.9999999999999993
0.0,0.2834519687449437,-2.0000000000000004
0.0,0.3149466319388264,-1.9999999999999998
0.0,0.34644129513270905,-2.0000000000000013
0.0,0.37793595832659166,-2.0000000000000004
0.0,0.40943062152047427,-2.0
0.0,0.44092528471435694,-2.0000000000000004
0.0,0.4724199479082396,-2.0000000000000004
0.0,0.5039146111021222,-2.0
0.0,0.5354092742960048,-1.9999999999999984
0.0,0.5669039374898874,-1.9999999999999998
0.0,0.5983986006837702,-2.0000000000000018
0.0,0.6298932638776528,-2.0
0.0,0.6613879270715354,-1.9999999999999998
0.0,0.6928825902654181,-2.000000000000002
0.0,0.7243772534593007,-2.000000000000001
0.0,0.7558719166531833,-2.0
0.0,0.7873665798470659,-2.000000000000001
0.0,0.8188612430409485,-1.9999999999999991
0.0,0.8503559062348313,-2.000000000000001
0.0,0.8818505694287139,-2.0000000000000004
0.0,0.9133452326225965,-1.9999999999999996
0.0,0.9448398958164792,-1.9999999999999993
0.0,0.9763345590103618,-2.0000000000000004
0.0,1.0078292222042444,-2.0000000000000018
0.0,1.039323885398127,-2.0
0.0,1.0708185485920096,-1.9999999999999987
0.0,1.1023132117858923,-1.999999999999998
0.0,1.1338078749797749,-2.0
0.0,1.1653025381736577,-2.000000000000001
0.0,1.1967972013675403,-2.0000000000000004
0.0,1.228291864561423,-2.0
0.0,1.2597865277553055,-2.0
0.0,1.2912811909491881,-2.0000000000000004
0.0,1.3227758541430708,-2.0
0.0,1.3542705173369534,-1.9999999999999991
0.0,1.3857651805308362,-2.000000000000002
0.0,1.4172598437247188,-2.0000000000000004
0.0,1.4487545069186014,-2.0000000000000004
0.0,1.480249170112484,-2.000000000000001
0.0,1.5117438333063666,-2.0000000000000018
0.0,1.5432384965002492,-2.0000000000000004
0.0,1.5747331596941319,-2.0000000000000004
0.0,1.6062278228880145,-2.0000000000000004
0.0,1.637722486081897,-1.9999999999999991
0.0,1.66921714927578,-2.0
0.0,1.7007118124696625,-2.0000000000000013
0.0,1.7322064756635451,-2.0000000000000004
0.0,1.7637011388574277,-1.9999999999999993
0.0,1.7951958020513104,-1.9999999999999978
0.0,1.826690465245193,-1.9999999999999996
0.0,1.8581851284390756,-1.9999999999999993
0.0,1.8896797916329584,-1.9999999999999987
0.0,1.921174454826841,-2.000000000000001
0.0,1.9526691180207236,-1.9999999999999996
0.0,1.9841637812146062,-1.999999999999999
0.0,2.015658444408489,-2.0
0.0,2.0471531076023717,-1.9999999999999998
0.0,2.078647770796254,-1.9999999999999991
0.0,2.110142433990137,-1.9999999999999991
0.0,2.1416370971840193,-2.0
0.0,2.173131760377902,-2.0000000000000004
0.0,2.2046264235717845,-1.9999999999999978
0.0,2.2361210867656673,-1.999999999999999
0.0,2.2676157499595497,-1.9999999999999998
0.0,2.2991104131534326,-1.9999999999999984
0.0,2.3306050763473154,-2.0000000000000004
0.0,2.362099739541198,-2.000000000000001
0.0,2.3935944027350806,-1.9999999999999998
0.0,2.425089065928963,-2.000000000000001
0.0,2.456583729122846,-2.0000000000000013
0.0,2.4880783923167282,-2.0000000000000004
0.0,2.519573055510611,-2.0000000000000004
0.0,2.551067718704494,-2.0000000000000004
0.0,2.5825623818983763,-2.0000000000000004
0.0,2.614057045092259,-2.0
0.0,2.6455517082861415,-1.9999999999999984
0.0,2.6770463714800243,-1.999999999999999
0.0,2.7085410346739067,-2.0
0.0,2.7400356978677896,-1.9999999999999998
0.0,2.7715303610616724,-2.0
0.0,2.8030250242555548,-2.0
0.0,2.8345196874494376,-2.000000000000002
0.0,2.86601435064332,-2.0
0.0,2.897509013837203,-1.999999999999999
